# Logfile created on 2022-03-03 10:13:17 +0100 by logger.rb/v1.5.0
D, [2022-03-10T08:18:00.127606 #6668] DEBUG -- :   TRANSACTION (12.1ms)  COMMIT
D, [2022-03-10T08:19:23.902263 #2896] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:19:23.903329 #2896] DEBUG -- :   Category Create (0.8ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('PCR', 'produit', '2022-03-10 07:19:23.901345', '2022-03-10 07:19:23.901345')
D, [2022-03-10T08:19:23.914121 #2896] DEBUG -- :   TRANSACTION (8.2ms)  COMMIT
D, [2022-03-10T08:19:23.915126 #2896] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-10T08:19:23.915520 #2896] DEBUG -- :   Category Create (0.2ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('SUP', 'Little apple', '2022-03-10 07:19:23.914487', '2022-03-10 07:19:23.914487')
D, [2022-03-10T08:19:23.927935 #2896] DEBUG -- :   TRANSACTION (12.1ms)  COMMIT
D, [2022-03-10T08:19:23.929200 #2896] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-10T08:19:23.929639 #2896] DEBUG -- :   Category Create (0.2ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('ELE', 'SUP', '2022-03-10 07:19:23.928542', '2022-03-10 07:19:23.928542')
D, [2022-03-10T08:19:23.937150 #2896] DEBUG -- :   TRANSACTION (7.2ms)  COMMIT
D, [2022-03-10T08:19:23.938024 #2896] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-10T08:19:23.938317 #2896] DEBUG -- :   Category Create (0.2ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('GAM', 'Gaming', '2022-03-10 07:19:23.937505', '2022-03-10 07:19:23.937505')
D, [2022-03-10T08:19:23.947373 #2896] DEBUG -- :   TRANSACTION (8.8ms)  COMMIT
D, [2022-03-10T08:19:23.956057 #2896] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:19:23.956607 #2896] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('apple', '2.35', 'Little apple', '2022-03-10 07:19:23.955439', '2022-03-10 07:19:23.955439', 1)
D, [2022-03-10T08:19:23.963883 #2896] DEBUG -- :   TRANSACTION (7.0ms)  COMMIT
D, [2022-03-10T08:19:23.964822 #2896] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-10T08:19:23.965261 #2896] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('lemon', '6.15', 'Big lemon', '2022-03-10 07:19:23.964258', '2022-03-10 07:19:23.964258', 1)
D, [2022-03-10T08:19:23.976451 #2896] DEBUG -- :   TRANSACTION (11.0ms)  COMMIT
D, [2022-03-10T08:19:23.977595 #2896] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:19:23.978118 #2896] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('limousine', '25.95', 'A limousine', '2022-03-10 07:19:23.976926', '2022-03-10 07:19:23.976926', 2)
D, [2022-03-10T08:19:23.985352 #2896] DEBUG -- :   TRANSACTION (6.9ms)  COMMIT
D, [2022-03-10T08:19:23.987230 #2896] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-10T08:19:23.988125 #2896] DEBUG -- :   Product Create (0.5ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('truck', '200', 'A truck', '2022-03-10 07:19:23.986064', '2022-03-10 07:19:23.986064', 2)
D, [2022-03-10T08:19:23.995672 #2896] DEBUG -- :   TRANSACTION (7.0ms)  COMMIT
D, [2022-03-10T08:19:23.997299 #2896] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:19:23.997984 #2896] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('GTA', '25.95', 'A limousine', '2022-03-10 07:19:23.996211', '2022-03-10 07:19:23.996211', 4)
D, [2022-03-10T08:19:24.005288 #2896] DEBUG -- :   TRANSACTION (6.9ms)  COMMIT
D, [2022-03-10T08:19:24.006361 #2896] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:19:24.006902 #2896] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('fifa22', '69', 'A truck', '2022-03-10 07:19:24.005705', '2022-03-10 07:19:24.005705', 4)
D, [2022-03-10T08:19:24.014425 #2896] DEBUG -- :   TRANSACTION (7.2ms)  COMMIT
D, [2022-03-10T08:19:24.019854 #2896] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:19:24.020838 #2896] DEBUG -- :   Client Create (0.7ms)  INSERT INTO `clients` (`firstname`, `lastname`, `created_at`, `updated_at`) VALUES ('robiel', 'Tesfazghi', '2022-03-10 07:19:24.019072', '2022-03-10 07:19:24.019072')
D, [2022-03-10T08:19:24.030249 #2896] DEBUG -- :   TRANSACTION (9.1ms)  COMMIT
D, [2022-03-10T08:19:24.031280 #2896] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:19:24.031844 #2896] DEBUG -- :   Client Create (0.3ms)  INSERT INTO `clients` (`firstname`, `lastname`, `created_at`, `updated_at`) VALUES ('yannick', 'baudraz', '2022-03-10 07:19:24.030646', '2022-03-10 07:19:24.030646')
D, [2022-03-10T08:19:24.042102 #2896] DEBUG -- :   TRANSACTION (9.9ms)  COMMIT
D, [2022-03-10T08:19:24.043301 #2896] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-10T08:19:24.043843 #2896] DEBUG -- :   Client Create (0.3ms)  INSERT INTO `clients` (`firstname`, `lastname`, `created_at`, `updated_at`) VALUES ('john', 'doedoe', '2022-03-10 07:19:24.042578', '2022-03-10 07:19:24.042578')
D, [2022-03-10T08:19:24.051884 #2896] DEBUG -- :   TRANSACTION (7.7ms)  COMMIT
D, [2022-03-10T08:27:01.288302 #5372] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:27:01.289412 #5372] DEBUG -- :   Category Create (0.7ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('PCR', 'produit', '2022-03-10 07:27:01.287272', '2022-03-10 07:27:01.287272')
D, [2022-03-10T08:27:01.301241 #5372] DEBUG -- :   TRANSACTION (9.5ms)  COMMIT
